,brand,age,name,abv,rating,No. rating,nose,taste,finish
818,Talisker,,57° North, 57%,4.6,16,"['Spices:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Spices:80%']",[]
819,Bruichladdich,21Y,Cuvee 640 Eroica, 46%,4.6,16,"['Herbs:100%', 'Zitrus:100%']",['Malt:100%'],"['Herb:100%', 'Spices:70%']"
820,Glen Els,,Sherry Cask, 45.9%,4.6,16,['Sherry:100%'],['Sherry:100%'],['Sherry:100%']
821,Laphroaig,,Brodir - Port Wood Finish, 48%,4.6,16,"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Maritime Notes:50%']","['Peat Smoke:100%', 'Sweet:70%']"
822,Benriach,17Y,Burgundy, 46%,4.5,16,"['Fruit:100%', 'Sweet:70%']","['Oak:100%', 'Fruit:100%']","['Malt:100%', 'Sweet:100%']"
823,Glenfiddich,30Y,, 40%,4.5,16,"['Fruit:100%', 'Sherry:70%']","['Oak:100%', 'Sweet:100%']",['Sweet:100%']
824,Glen Scotia,,Victoriana, 51.5%,4.4,16,"['Sweet:100%', 'Fruit:100%']",['Sweet:100%'],"['Sweet:100%', 'Peat Smoke:90%']"
825,Longrow,14Y,, 46%,4.4,16,"['Peat Smoke:100%', 'Sweet:80%']",['Sweet:100%'],"['Peat Smoke:100%', 'Malt:70%']"
826,Oban,,, 43%,4.3,16,['Sherry:100%'],['Sweet:100%'],[]
827,Compass Box,,Spice Tree, 46%,4.3,16,"['Spices:100%', 'Sweet:80%']","['Oak:100%', 'Sweet:100%']","['Spices:100%', 'Sherry:50%']"
828,Edradour,,Ruby Port Batch No. 2, 46%,4.2,16,['Spices:100%'],"['Nuts:100%', 'Fruit:100%']","['Herb:100%', 'Sherry:100%']"
829,Glenfarclas,,Cask Strength, 55.5%,4.2,16,"['Sherry:100%', 'Sweet:70%']","['Sweet:100%', 'Sherry:80%']",['Sweet:100%']
830,Smokehead,18Y,Extra Black, 46%,4.2,16,['Peat Smoke:100%'],"['Spices:100%', 'Sweet:80%']",[]
831,Kilkerran,12Y,, 46%,4.1,16,"['Peat Smoke:100%', 'Sherry:80%']","['Peat Smoke:100%', 'Spices:80%']","['Peat Smoke:100%', 'Sherry:60%']"
832,Knockando,15Y,, 43%,4.1,16,"['Spices:100%', 'Fruit:100%']","['Fruit:100%', 'Sherry:90%']","['Fruit:100%', 'Spices:100%']"
833,Port Charlotte,8Y,CC: 01, 57.8%,4.1,16,"['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Spices:90%']",['Spices:100%']
834,Ardbeg,,Kelpie, 46%,4.0,16,"['Seaweed:100%', 'Maritime Notes:100%']","['Salt:100%', 'Maritime Notes:100%']",['Spices:100%']
835,Glendronach,12Y,, 43%,3.9,16,"['Sweet:100%', 'Sherry:100%']","['Sherry:100%', 'Sweet:70%']","['Sweet:100%', 'Spices:100%']"
836,Linkwood,15Y,, 43%,3.9,16,['Sweet:100%'],['Oak:100%'],['Oak:100%']
837,Talisker,10Y,Segeldesign, 45.8%,3.9,16,"['Peat Smoke:100%', 'Maritime Notes:50%']","['Chili:100%', 'Spices:100%']","['Spices:100%', 'Zitrus:50%']"
838,Dalmore,,Gran Reserva, 40%,3.8,16,"['Sherry:100%', 'Zitrus:70%']","['Malt:100%', 'Sweet:100%']","['Sweet:100%', 'Sherry:50%']"
839,Glenfiddich,,Snow Phoenix, 47.6%,3.8,16,"['Fruit:100%', 'Sweet:80%']",[],[]
840,Strathisla,12Y,, 40%,3.8,16,[''],[''],['']
841,Paul John,,Edited, 46%,3.7,16,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:90%']",[]
842,Bowmore,,100 Degrees Proof, 57.1%,3.6,16,"['Maritime Notes:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Malt:50%']",['Spices:100%']
843,Glenmorangie,,Port Wood Finish, 43%,3.6,16,[],"['Oil:100%', 'Nuts:100%']",['Nuts:100%']
844,Balvenie,12Y,Doublewood, 43%,3.4,16,"['Oak:100%', 'Sweet:100%']","['Fruit:100%', 'Sweet:100%']","['Spices:100%', 'Maritime Notes:60%']"
845,Glenfiddich,15Y,Distillery Edition, 51%,3.4,16,[],"['Malt:100%', 'Nuts:80%']",[]
846,Glenrothes,,Vintage Reserve, 40%,3.4,16,"['Honey:100%', 'Sweet:100%']","['Nuts:100%', 'Oil:90%']",['Sweet:100%']
847,Port Charlotte,,The Peat Project, 46%,3.4,16,"['Sweet:100%', 'Peat Smoke:100%']",['Maritime Notes:100%'],"['Spices:100%', 'Peat Smoke:100%']"
848,Ballantine's,12Y,, 40%,3.0,16,['Sweet:100%'],"['Fruit:100%', 'Zitrus:70%']",[]
849,Glendronach,,peated, 46%,3.0,16,"['Sweet:100%', 'Peat Smoke:100%']","['Herbs:100%', 'Pepper:100%']","['Herbs:100%', 'Fruit:90%']"
850,Glen Moray,,Classic (old Abflüllung), 40%,2.9,16,"['Herbs:100%', 'Zitrus:90%']","['Grass:100%', 'Lemon:100%']","['Sweet:100%', 'Spices:100%']"
851,Gold Cock,12Y,, 43%,2.9,16,"['Sweet:100%', 'Oak:80%']","['Sweet:100%', 'Oak:50%']","['Oak:100%', 'Sweet:90%']"
852,Glen Garioch,8Y,(old bottling), 40%,2.6,16,['Zitrus:100%'],"['Sweet:100%', 'Malt:70%']",[]
853,Chivas Regal,12Y,(old bottling), 43%,2.6,16,"['Spices:100%', 'Fruit:100%']","['Oil:100%', 'Nuts:100%']",[]
854,Crown Royal,,, 40%,2.4,16,[],"['Nuts:100%', 'Malt:70%']",[]
855,,,"""Special""", 40%,2.4,16,[''],[''],['']
856,Chivas Regal,12Y,, 40%,2.3,16,[''],[''],['']
857,Glen Deveron,10Y,, 40%,2.1,16,['Malt:100%'],"['Malt:100%', 'Fruit:100%']",[]
858,Glen Grant,,The Major's Reserve, 40%,2.0,16,[''],[''],['']
859,Aberlour,,a'bunadh Batch 54, 60.75%,4.7,15,"['Sherry:100%', 'Spices:70%']","['Fruit:100%', 'Spices:100%']","['Spices:100%', 'Sherry:80%']"
860,Arran,16Y,, 46%,4.7,15,"['Sweet:100%', 'Maritime Notes:50%']","['Spices:100%', 'Herbs:50%']","['Spices:100%', 'Herbs:50%']"
861,Glen Elgin,16Y,Sherry Cask, 58.5%,4.7,15,"['Sweet:100%', 'Fruit:100%']",['Spices:100%'],"['Sweet:100%', 'Spices:100%']"
862,Bruichladdich,21Y,Cuvee 407 La Noche Bocca Arriba, 46%,4.6,15,"['Fruit:100%', 'Sherry:60%']","['Sherry:100%', 'Chocolate:70%']",['Sherry:100%']
863,Springbank,17Y,Sherry Wood, 52.3%,4.6,15,"['Sherry:100%', 'Peat Smoke:90%']","['Honey:100%', 'Orange:100%']","['Coffee:100%', 'Herb:100%']"
864,Noah's Mill,,, 57.2%,4.5,15,"['Sweet:100%', 'Oak:50%']","['Sweet:100%', 'Oak:80%']","['Oak:100%', 'Sweet:100%']"
865,Laphroaig,10Y,Cask Strength (Batch 003), 55.3%,4.5,15,"['Iodine:100%', 'Maritime Notes:100%']","['Maritime Notes:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
866,Ardbeg,,Supernova, 55%,4.4,15,"['Spices:100%', 'Chili:90%']","['Coffee:100%', 'Pepper:100%']","['Pepper:100%', 'Spices:100%']"
867,Highland Park,18Y,Full Volume, 47.2%,4.4,15,"['Vanilla:100%', 'Sweet:100%']","['Sweet:100%', 'Peat Smoke:100%']","['Malt:100%', 'Oak:100%']"
868,George Dickel,,Rye, 45%,4.3,15,"['Sweet:100%', 'Spices:70%']","['Vanilla:100%', 'Sweet:100%']",['Oak:100%']
869,Glendronach,15Y,Sherry old bottling, 40%,4.3,15,"['Sweet:100%', 'Sherry:70%']","['Sweet:100%', 'Sherry:80%']",['Sherry:100%']
870,AnCnoc,16Y,, 46%,4.1,15,['Zitrus:100%'],[],[]
871,St. Kilian,3Y,Kilian Signature Edition „One“, 45%,4.1,15,[],['Fruit:100%'],['Spices:100%']
872,Talisker,,Collection, 45.8%,4.1,15,"['Zitrus:100%', 'Maritime Notes:100%']",[],[]
873,AnCnoc,,Cutter, 46%,4.0,15,"['Peat Smoke:100%', 'Fruit:80%']","['Sweet:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
874,Berry Bros. & Rudd.,,Sherry, 44.2%,4.0,15,['Sherry:100%'],"['Sherry:100%', 'Fruit:80%']","['Sherry:100%', 'Spices:80%']"
875,Bunnahabhain,9Y,, 46%,4.0,15,"['Sherry:100%', 'Herb:60%']",['Sherry:100%'],['Sherry:100%']
876,Paul John,,Bold, 46%,4.0,15,"['Spices:100%', 'Peat Smoke:100%']","['Honey:100%', 'Sweet:100%']","['Peat Smoke:100%', 'Spices:80%']"
877,Ardbeg,10Y,Ten - Exploration Pack, 46%,3.9,15,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Spices:70%']",['Peat Smoke:100%']
878,Drambuie,15Y,, 43%,3.9,15,['Herbs:100%'],"['Sweet:100%', 'Malt:60%']",[]
879,,17Y,old Casing, 46%,3.9,15,['Oak:100%'],"['Vanilla:100%', 'Sweet:100%']",[]
880,Bowmore,16Y,Port Matured Natural Cask Strength, 53.1%,3.9,15,"['Sweet:100%', 'Maritime Notes:60%']","['Fruit:100%', 'Herbs:60%']","['Sherry:100%', 'Herbs:80%']"
881,Caol Ila,,, 43%,3.9,15,"['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:50%']",[]
882,Highland Park,,, 40%,3.9,15,[''],[''],['']
883,Ben Nevis,,Mc Donald's Traditional, 46%,3.8,15,"['Sweet:100%', 'Peat Smoke:100%']",['Peat Smoke:100%'],"['Oak:100%', 'Peat Smoke:100%']"
884,Highland Park,12Y,with Nosing Glas, 40%,3.8,15,"['Heather:100%', 'Herbs:100%']",['Peat Smoke:100%'],"['Heather:100%', 'Herbs:100%']"
885,Aultmore,18Y,, 46%,3.7,15,[],"['Spices:100%', 'Sweet:80%']",[]
886,Glenfiddich,,125th Anniversary, 43%,3.7,15,"['Spices:100%', 'Fruit:100%']","['Oak:100%', 'Fruit:100%']",['Peat Smoke:100%']
887,Glenmorangie,,Milsean, 46%,3.7,15,"['Sweet:100%', 'Fruit:80%']","['Sweet:100%', 'Fruit:80%']","['Sweet:100%', 'Spices:90%']"
888,Talisker,,Neist Point, 45.8%,3.7,15,"['Spices:100%', 'Maritime Notes:90%']","['Spices:100%', 'Maritime Notes:60%']","['Sweet:100%', 'Peat Smoke:100%']"
889,Mortlach,,Rare Old, 43.4%,3.7,15,[],"['Spices:100%', 'Fruit:80%']","['Black Currant:100%', 'Spices:100%']"
890,Teeling,,Small Batch Rum Finish, 46%,3.7,15,['Sherry:100%'],[],[]
891,Glenfarclas,,Passion, 46%,3.6,15,"['Sherry:100%', 'Nuts:50%']","['Nuts:100%', 'Oak:100%']","['Oak:100%', 'Sweet:100%']"
892,Glenfarclas,10Y,105, 60%,3.6,15,"['Sherry:100%', 'Peat Smoke:100%']","['Oak:100%', 'Spices:100%']",['Sherry:100%']
893,Clynelish,12Y,Friends Of Classic Malts Bottling, 46%,3.5,15,"['Spices:100%', 'Oak:70%']","['Oak:100%', 'Fruit:100%']","['Malt:100%', 'Peat Smoke:100%']"
894,Port Charlotte,,An Turas Mor, 46%,3.5,15,['Peat Smoke:100%'],"['Vanilla:100%', 'Sweet:100%']",['Peat Smoke:100%']
895,Tyrconnell,10Y,Madeira Finish, 46%,3.5,15,['Fruit:100%'],"['Fruit:100%', 'Sherry:80%']",[]
896,AnCnoc,,Black Hill Reserve, 46%,3.5,15,"['Fruit:100%', 'Sweet:90%']","['Spices:100%', 'Zitrus:60%']",['Spices:100%']
897,Lochnagar,,, 40%,3.4,15,[],['Malt:100%'],[]
898,Wild Turkey,,81 Proof, 40.5%,3.4,15,[],"['Vanilla:100%', 'Sweet:100%']",['Spices:100%']
899,Ileach,,The Original - Man From Islay, 40%,3.3,15,[],['Peat Smoke:100%'],[]
900,Penderyn,,Sherry, 46%,3.3,15,['Sherry:100%'],"['Fruit:100%', 'Sweet:100%']",['Sherry:100%']
901,Canadian Club,12Y,Small Batch, 40%,3.3,15,['Sweet:100%'],"['Oil:100%', 'Nuts:100%']",[]
902,Glenkinchie,10Y,, 43%,3.3,15,[],['Fruit:100%'],"['Oak:100%', 'Peat Smoke:100%']"
903,Teeling,,Single Malt, 46%,3.3,15,"['Sweet:100%', 'Fruit:100%']","['Pepper:100%', 'Sweet:100%']",['Spices:100%']
904,Aureum,6Y,Grave Digger Edition, 43%,3.1,15,[''],[''],['']
905,Teeling,,Rum Cask, 46%,3.1,15,"['Sweet:100%', 'Fruit:90%']","['Oak:100%', 'Spices:100%']","['Spices:100%', 'Sweet:50%']"
906,Glenlivet,12Y,with 2 Glasses, 40%,3.1,15,['Fruit:100%'],['Malt:100%'],['Spices:100%']
907,Tullamore D.E.W.,10Y,, 40%,2.8,15,"['Fruit:100%', 'Malt:80%']",['Sherry:100%'],"['Malt:100%', 'Sherry:100%']"
908,Suntory,,The Chita, 43%,2.6,15,['Sweet:100%'],"['Sweet:100%', 'Oak:60%']",[]
909,Cooley,,Miniatursortiment Collection, 40%,2.3,15,[],['Malt:100%'],['Spices:100%']
910,Canadian Club,12Y,Classic, 40%,2.0,15,[''],[''],['']
911,Clontarf,,Trinity, 40%,1.7,15,"['Sweet:100%', 'Peat Smoke:100%']","['Oil:100%', 'Nuts:100%']",['Nuts:100%']
912,Highland Park,18Y,Old - Viking Pride, 43%,4.8,14,"['Fruit:100%', 'Sherry:100%']","['Fruit:100%', 'Sherry:100%']","['Oak:100%', 'Spices:100%']"
913,Glenfarclas,,No.18 John Duns Scotus, 46%,4.7,14,"['Spices:100%', 'Sherry:100%']","['Sherry:100%', 'Herb:70%']","['Sherry:100%', 'Sweet:70%']"
914,Ardbeg,,Dark Cove, 55%,4.6,14,"['Herb:100%', 'Peat Smoke:100%']","['Herb:100%', 'Spices:100%']","['Spices:100%', 'Peat Smoke:100%']"
915,Ardbeg,,Committee Release, 56.7%,4.6,14,[],[],"['Spices:100%', 'Sherry:50%']"
916,Tamdhu,,Batch Strength 002, 58.5%,4.6,14,"['Fruit:100%', 'Sherry:90%']","['Fruit:100%', 'Sweet:70%']","['Fruit:100%', 'Sweet:100%']"
917,Lagavulin,12Y,Cask Strength, 57.7%,4.5,14,"['Salt:100%', 'Sweet:100%']","['Sweet:100%', 'Peat Smoke:100%']",['Herb:100%']
918,Benriach,12Y,Sherry Wood, 46%,4.4,14,[],"['Fruit:100%', 'Sweet:80%']","['Spices:100%', 'Sherry:70%']"
919,Dalmore,,Port Wood Reserve, 46.5%,4.4,14,[],"['Fruit:100%', 'Sherry:70%']",['Herb:100%']
920,Springbank,9Y,Gaja Barolo Finish, 54.7%,4.4,14,"['Sweet:100%', 'Fruit:80%']","['Pepper:100%', 'Oak:80%']",['Spices:100%']
921,Bruichladdich,,Infinity 3rd Edition, 50%,4.4,14,"['Maritime Notes:100%', 'Sherry:100%']","['Peat Smoke:100%', 'Maritime Notes:60%']",['Sherry:100%']
922,Longrow,11Y,Red Australian Shiraz Cask, 53.7%,4.4,14,"['Fruit:100%', 'Spices:70%']","['Fruit:100%', 'Sweet:100%']",['Peat Smoke:100%']
923,Aberlour,,a'bunadh Batch 30, 59.8%,4.3,14,"['Fruit:100%', 'Peat Smoke:100%']","['Fruit:100%', 'Sweet:100%']","['Fruit:100%', 'Sherry:60%']"
924,Redbreast,21Y,, 46%,4.3,14,"['Fruit:100%', 'Nuts:70%']","['Vanilla:100%', 'Fruit:100%']",['Oak:100%']
925,Springbank,12Y,Cask Strength, 56.3%,4.2,14,"['Sweet:100%', 'Fruit:100%']","['Oak:100%', 'Sweet:100%']","['Sweet:100%', 'Herb:70%']"
926,Tamdhu,,Batch Strength, 58.8%,4.2,14,"['Berries:100%', 'Sherry:100%']","['Orange:100%', 'Zitrus:100%']","['Fruit:100%', 'Malt:80%']"
927,Aberlour,,a'bunadh Batch 60, 60.3%,4.1,14,['Sherry:100%'],"['Sherry:100%', 'Fruit:80%']",['Sherry:100%']
928,Caol Ila,,, 43%,4.1,14,[],"['Seaweed:100%', 'Maritime Notes:100%']",['Sherry:100%']
929,Glen Grant,21Y,, 40%,4.1,14,"['Sherry:100%', 'Oak:70%']","['Sherry:100%', 'Malt:50%']",['Sherry:100%']
930,Aberlour,,a'bunadh Batch 33, 60.9%,4.0,14,"['Apple:100%', 'Fruit:100%']","['Oil:100%', 'Nuts:100%']","['Sweet:100%', 'Honey:90%']"
931,Edradour,8Y,Ballechin Cuvée, 46%,4.0,14,"['Sherry:100%', 'Peat Smoke:100%']","['Spices:100%', 'Peat Smoke:100%']","['Herbs:100%', 'Spices:100%']"
932,Highland Park,,Sigurd, 43%,4.0,14,[],"['Oak:100%', 'Fruit:100%']","['Spices:100%', 'Herb:70%']"
933,Kilchoman,5Y,Sanaig, 46%,4.0,14,"['Peat Smoke:100%', 'Fruit:80%']","['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']"
934,Laphroaig,,"Brodir, Batch 002", 48%,4.0,14,[],['Sherry:100%'],['Peat Smoke:100%']
935,Longrow,11Y,Red Fresh Port Cask, 51.8%,4.0,14,[],"['Sweet:100%', 'Peat Smoke:100%']",[]
936,Macallan,,Makers Edition, 42.8%,4.0,14,[],['Sweet:100%'],[]
937,Tullibardine,20Y,, 43%,4.0,14,[],"['Oil:100%', 'Nuts:100%']",[]
938,Highland Park,,Dragon Legend, 43.1%,3.9,14,"['Sweet:100%', 'Spices:70%']","['Fruit:100%', 'Sweet:100%']",['Peat Smoke:100%']
939,Glenfiddich,,Malt Master's 03/15, 43%,3.9,14,"['Spices:100%', 'Sweet:100%']","['Sherry:100%', 'Nuts:70%']",['Oak:100%']
940,Aberlour,,Casg Annamh Batch 0001, 48%,3.7,14,"['Fruit:100%', 'Sherry:100%']","['Spices:100%', 'Fruit:70%']","['Spices:100%', 'Sherry:40%']"
941,Dalwhinnie,,, 43%,3.7,14,"['Pear:100%', 'Fruit:100%']","['Sweet:100%', 'Fruit:80%']",['Sherry:100%']
942,Macallan,,, 43%,3.7,14,[],"['Nuts:100%', 'Sherry:100%']",[]
943,Macallan,9Y,, 43%,3.7,14,"['Lemon:100%', 'Zitrus:100%']","['Banana:100%', 'Fruit:100%']","['Sweet:100%', 'Chocolate:90%']"
944,Linkwood,15Y,, 43%,3.6,14,"['Sweet:100%', 'Sherry:50%']","['Herbs:100%', 'Oak:100%']",['Sherry:100%']
945,Bowmore,10Y,Tempest No. 5, 55.9%,3.6,14,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Seaweed:70%']",['Maritime Notes:100%']
946,Jura,,Prophecy, 46%,3.6,14,"['Peat Smoke:100%', 'Maritime Notes:50%']","['Peat Smoke:100%', 'Fruit:60%']","['Spices:100%', 'Maritime Notes:70%']"
947,Jameson,,Signature Reserve, 40%,3.5,14,[],['Nuts:100%'],[]
948,Nikka,,Blended, 40%,3.5,14,"['Sweet:100%', 'Zitrus:70%']","['Sweet:100%', 'Fruit:80%']","['Sweet:100%', 'Spices:60%']"
949,Arran,,Sauternes Cask Finish, 50%,3.4,14,['Sweet:100%'],"['Sweet:100%', 'Fruit:70%']",['Sweet:100%']
950,Glen Scotia,,Double Cask, 46%,3.4,14,"['Fruit:100%', 'Sweet:90%']","['Herbs:100%', 'Sweet:100%']","['Oak:100%', 'Spices:100%']"
951,Speyside (Spey),12Y,, 40%,3.4,14,"['Barley:100%', 'Malt:100%']","['Nuts:100%', 'Sweet:80%']",['Sweet:100%']
952,Glenlivet,,Nadurra Oloroso, 48%,3.3,14,[''],[''],['']
953,Jameson,,Caskmates, 40%,3.3,14,"['Sweet:100%', 'Lemon:70%']","['Sweet:100%', 'Oak:70%']","['Chocolate:100%', 'Sweet:100%']"
954,Nikka,,Miyagikyo no age statment, 43%,3.3,14,[],"['Sweet:100%', 'Sherry:100%']",[]
955,Sheep Dip,,, 40%,3.3,14,['Maritime Notes:100%'],['Malt:100%'],"['Nuts:100%', 'Maritime Notes:70%']"
956,Cardhu,12Y,in Tasche Lederoptik, 40%,3.2,14,"['Sweet:100%', 'Peat Smoke:100%']",[],[]
957,Knockando,12Y,, 43%,3.2,14,"['Sweet:100%', 'Malt:80%']",['Malt:100%'],[]
958,Ballantine's,12Y,, 40%,3.1,14,[],['Sweet:100%'],[]
959,1776,,Rye, 50%,3.0,14,"['Spices:100%', 'Clove:90%']","['Spices:100%', 'Sweet:70%']",[]
960,Glen Deveron,16Y,, 40%,3.0,14,"['Fruit:100%', 'Malt:60%']","['Malt:100%', 'Fruit:100%']",[]
961,Famous Grouse,,Port Wood Cask Finish, 40%,2.9,14,[],['Sweet:100%'],[]
962,Auchentoshan,,Select, 40%,2.6,14,"['Apple:100%', 'Fruit:100%']","['Sweet:100%', 'Herbs:70%']",[]
963,Dimple,,Golden Selection, 40%,2.5,14,"['Caramel:100%', 'Spices:100%']","['Oak:100%', 'Sweet:90%']",[]
964,Ben Bracken,,Highland, 40%,2.2,14,[],"['Sweet:100%', 'Fruit:80%']",['Oak:100%']
965,Queen Margot,3Y,, 40%,1.6,14,['Peat Smoke:100%'],['Oak:100%'],['Peat Smoke:100%']
966,Bunnahabhain,18Y,, 46.3%,5.0,13,"['Oak:100%', 'Sherry:100%']","['Oak:100%', 'Sherry:100%']",['Sherry:100%']
967,Bruichladdich,21Y,Black Art 2nd2, 49%,4.8,13,"['Zitrus:100%', 'Sherry:100%']","['Sweet:100%', 'Zitrus:60%']","['Coffee:100%', 'Herb:100%']"
968,Talisker,,, 45.8%,4.8,13,"['Salt:100%', 'Maritime Notes:100%']","['Sherry:100%', 'Sweet:70%']","['Maritime Notes:100%', 'Sherry:100%']"
969,Benriach,25Y,Authenticus, 46%,4.7,13,"['Heather:100%', 'Herbs:100%']","['Anise:100%', 'Heather:100%']",[]
970,Glendronach,,Cask Strength Batch 4, 54.7%,4.7,13,[],"['Nuts:100%', 'Sweet:100%']",[]
971,Hazelburn,10Y,Rundlets & Kilderkins, 50.1%,4.7,13,"['Sweet:100%', 'Malt:70%']",[],[]
972,Lagavulin,,, 43%,4.7,13,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']",[]
973,Aberlour,18Y,, 43%,4.6,13,"['Orange:100%', 'Zitrus:100%']","['Sweet:100%', 'Nuts:70%']","['Sweet:100%', 'Sherry:40%']"
974,Atholl Brose,,, 35%,4.5,13,"['Herbs:100%', 'Sweet:80%']",[],"['Sweet:100%', 'Sherry:40%']"
975,Glen Garioch,15Y,The Renaissance 1st Chapter, 51.9%,4.5,13,"['Fruit:100%', 'Spices:80%']","['Spices:100%', 'Oak:70%']","['Sherry:100%', 'Oak:100%']"
976,Laphroaig,,Cairdeas Feis Ile 2015 200th anniversary edition, 51.5%,4.5,13,"['Maritime Notes:100%', 'Sweet:100%']","['Maritime Notes:100%', 'Vanilla:90%']","['Peat Smoke:100%', 'Maritime Notes:80%']"
977,Aberlour,,a'bunadh Batch No. 32, 60.4%,4.5,13,[],['Sherry:100%'],"['Alcohol:100%', 'Oak:100%']"
978,Glenfarclas,,, 46%,4.5,13,"['Sweet:100%', 'Sherry:100%']","['Sweet:100%', 'Vanilla:70%']",[]
979,Ardbeg,17Y,, 40%,4.4,13,['Maritime Notes:100%'],"['Peat Smoke:100%', 'Maritime Notes:60%']",[]
980,Edradour,14Y,Sherry cask Decanter, 58.2%,4.4,13,[],['Herb:100%'],[]
981,Glenmorangie,12Y,Nectar d'Or, 46%,4.3,13,[''],[''],['']
982,Kilchoman,5Y,Loch Gorm, 46%,4.3,13,[],"['Peat Smoke:100%', 'Malt:50%']","['Sherry:100%', 'Sweet:100%']"
983,Longrow,12Y,Red Fresh Pinot Noir, 52.9%,4.3,13,"['Peat Smoke:100%', 'Zitrus:50%']","['Fruit:100%', 'Peat Smoke:100%']","['Malt:100%', 'Peat Smoke:100%']"
984,Aberlour,,A'Bunadh Batch 47, 60.7%,4.2,13,['Sherry:100%'],"['Fruit:100%', 'Sweet:100%']","['Herb:100%', 'Sherry:100%']"
985,Macallan,12Y,Sherry Oak, 43%,4.2,13,"['Sweet:100%', 'Fruit:80%']","['Sherry:100%', 'Fruit:60%']","['Sweet:100%', 'Sherry:80%']"
986,Ardbeg,9Y,Almost There, 54.1%,4.2,13,"['Seaweed:100%', 'Maritime Notes:100%']","['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Maritime Notes:60%']"
987,Glenlivet,,Nadurra Oloroso, 60.7%,4.2,13,"['Raisin:100%', 'Sherry:100%']","['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Spices:90%']"
988,Glenmorangie,,Bacalta - Private Edition No. 8, 46%,4.2,13,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Zitrus:80%']","['Sweet:100%', 'Spices:70%']"
989,Macallan,9Y,, 43%,4.2,13,"['Spices:100%', 'Sherry:70%']","['Sweet:100%', 'Nuts:70%']",['Sherry:100%']
990,Mortlach,16Y,Distiller's Dram, 43.4%,4.2,13,"['Sweet:100%', 'Fruit:100%']","['Spices:100%', 'Sweet:80%']","['Fruit:100%', 'Spices:80%']"
991,Ardbeg,,Grooves Limited Edition, 46%,4.1,13,"['Sweet:100%', 'Fruit:100%']","['Fruit:100%', 'Spices:100%']","['Peat Smoke:100%', 'Spices:80%']"
992,Glenfarclas,,Cask Strength, 53.6%,4.1,13,['Sherry:100%'],"['Sherry:100%', 'Spices:100%']",['Sherry:100%']
993,Bowmore,18Y,Deep & Complex, 43%,4.0,13,['Sherry:100%'],"['Sweet:100%', 'Oak:60%']","['Peat Smoke:100%', 'Spices:60%']"
994,Glen Garioch,12Y,, 48%,4.0,13,[''],[''],['']
995,Glenglassaugh,,PX Finish, 46%,4.0,13,"['Sweet:100%', 'Fruit:80%']","['Sherry:100%', 'Oak:70%']","['Sweet:100%', 'Fruit:80%']"
996,Glenmorangie,,Madeira Wood Finish, 43%,4.0,13,"['Sweet:100%', 'Maritime Notes:50%']",[],[]
997,The Singleton of Dufftown,18Y,, 40%,4.0,13,[],"['Fruit:100%', 'Sweet:100%']",['Malt:100%']
998,Tormore,16Y,, 48%,4.0,13,"['Honey:100%', 'Sweet:100%']","['Fruit:100%', 'Sweet:100%']",[]
999,Aberlour,,a'bunadh Batch 48, 59.7%,3.9,13,"['Fruit:100%', 'Nuts:50%']","['Dark Chocolate:100%', 'Herb:100%']","['Malt:100%', 'Herb:100%']"
1000,Glen Grant,18Y,Rare Edition, 43%,3.9,13,[],"['Fruit:100%', 'Malt:80%']",[]
1001,Laphroaig,,Quarter Cask with glas, 48%,3.9,13,['Peat Smoke:100%'],[],['Peat Smoke:100%']
1002,W.L. Weller,12Y,, 45%,3.9,13,['Sweet:100%'],['Sweet:100%'],['Oak:100%']
1003,Ardbeg,10Y,TEN Escape with 2 Glasses, 46%,3.8,13,"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Zitrus:60%']"
1004,Bruichladdich,,Islay Barley, 50%,3.8,13,[],"['Sweet:100%', 'Lime:70%']",[]
1005,Bruichladdich,10Y,The Laddie Ten, 46%,3.8,13,[],['Maritime Notes:100%'],[]
1006,Glenallachie,15Y,, 46%,3.8,13,"['Spices:100%', 'Sherry:100%']","['Sweet:100%', 'Spices:100%']","['Oak:100%', 'Sherry:40%']"
1007,Lagavulin,9Y,Game of Thrones, 46%,3.8,13,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Maritime Notes:40%']"
